Country,Curruption,Gini
Albania2012,33,28.96048
Albania2014,33,34.5989
Albania2015,36,32.912910000000004
Albania2016,39,33.70824
Albania2017,38,33.17109
Albania2018,36,33.17109
Algeria2012,34,27.61573
Algeria2013,36,27.61573
Algeria2014,36,27.61573
Algeria2015,36,27.61573
Algeria2016,34,27.61573
Algeria2017,33,27.61573
Algeria2018,35,27.61573
Armenia2012,34,29.602259999999998
Armenia2013,36,30.579659999999997
Armenia2014,37,31.483290000000004
Armenia2015,35,32.356770000000004
Armenia2016,33,32.54795
Armenia2017,35,33.62184
Armenia2018,35,34.4335
Australia2014,80,34.399429999999995
Australia2015,79,34.399429999999995
Australia2016,79,34.399429999999995
Australia2017,77,34.399429999999995
Australia2018,77,34.399429999999995
Austria2012,69,30.47632
Austria2013,69,30.75313
Austria2014,72,30.53568
Austria2015,76,30.53278
Austria2016,75,30.79707
Austria2017,75,29.737579999999998
Austria2018,76,30.84879
Azerbaijan2012,27,26.554909999999996
Azerbaijan2013,28,26.554909999999996
Azerbaijan2014,29,26.554909999999996
Azerbaijan2015,29,26.554909999999996
Azerbaijan2016,30,26.554909999999996
Azerbaijan2017,31,26.554909999999996
Azerbaijan2018,25,26.554909999999996
Bangladesh2016,26,32.38527
Bangladesh2017,28,32.38527
Bangladesh2018,26,32.38527
Belarus2012,31,26.5262
Belarus2013,29,26.57505
Belarus2014,31,27.17667
Belarus2015,32,25.633229999999998
Belarus2016,40,25.306620000000002
Belarus2017,44,25.444570000000002
Belarus2018,44,25.24053
Belgium2012,75,27.491090000000003
Belgium2013,75,27.6692
Belgium2014,76,28.13415
Belgium2015,77,27.729459999999996
Belgium2016,77,27.58098
Belgium2017,75,27.387970000000003
Belgium2018,75,27.214409999999997
Benin2015,37,47.75591
Benin2016,36,47.75591
Benin2017,39,47.75591
Benin2018,40,47.75591
Bhutan2012,63,38.809329999999996
Bhutan2017,67,37.44141000000001
Bhutan2018,68,37.44141000000001
Bolivia2012,34,46.585229999999996
Bolivia2013,34,47.59879
Bolivia2014,35,47.83199000000001
Bolivia2015,34,46.73245
Bolivia2016,33,45.250659999999996
Bolivia2017,33,44.61611
Bolivia2018,29,42.5795
Bosnia and Herzegovina2012,42,33.030190000000005
Bosnia and Herzegovina2013,42,33.030190000000005
Bosnia and Herzegovina2014,39,33.030190000000005
Bosnia and Herzegovina2015,38,33.030190000000005
Bosnia and Herzegovina2016,39,33.030190000000005
Bosnia and Herzegovina2017,38,33.030190000000005
Bosnia and Herzegovina2018,38,33.030190000000005
Botswana2016,60,53.325030000000005
Botswana2017,61,53.325030000000005
Botswana2018,61,53.325030000000005
Brazil2012,43,53.54514
Brazil2013,42,52.75476
Brazil2014,43,52.11355
Brazil2015,38,51.94284999999999
Brazil2016,40,53.277069999999995
Brazil2017,37,53.27279
Brazil2018,35,53.86498
Bulgaria2012,41,36.01392
Bulgaria2013,41,36.57365
Bulgaria2014,43,37.41857
Bulgaria2015,41,38.56735
Bulgaria2016,41,40.59106
Bulgaria2017,43,40.37905
Bulgaria2018,42,41.2841
Burkina Faso2014,38,35.30123
Burkina Faso2015,38,35.30123
Burkina Faso2016,42,35.30123
Burkina Faso2017,42,35.30123
Burkina Faso2018,41,35.30123
Burundi2014,20,38.62482
Burundi2015,21,38.62482
Burundi2016,20,38.62482
Burundi2017,22,38.62482
Burundi2018,17,38.62482
Cameroon2014,27,46.64087
Cameroon2015,27,46.64087
Cameroon2016,26,46.64087
Cameroon2017,25,46.64087
Cameroon2018,25,46.64087
Canada2012,84,33.539010000000005
Canada2013,81,33.79898
Canada2014,81,33.15761
Canada2015,83,33.74648
Canada2016,82,32.70182
Canada2017,82,33.308209999999995
Canada2018,81,33.308209999999995
Cape Verde2015,55,42.38109
Cape Verde2016,59,42.38109
Cape Verde2017,55,42.38109
Cape Verde2018,57,42.38109
Central African Republic2012,26,56.23661
Central African Republic2013,25,56.23661
Central African Republic2014,24,56.23661
Central African Republic2015,24,56.23661
Central African Republic2016,20,56.23661
Central African Republic2017,23,56.23661
Central African Republic2018,26,56.23661
Chad2012,19,43.32121
Chad2013,19,43.32121
Chad2014,22,43.32121
Chad2015,22,43.32121
Chad2016,20,43.32121
Chad2017,20,43.32121
Chad2018,19,43.32121
Chile2013,71,45.831109999999995
Chile2015,70,44.37133
Chile2017,67,44.440940000000005
Chile2018,67,44.440940000000005
Colombia2012,36,52.645480000000006
Colombia2013,36,52.63264
Colombia2014,37,52.551019999999994
Colombia2015,37,50.99042
Colombia2016,37,50.570679999999996
Colombia2017,37,49.71548
Colombia2018,36,50.41870000000001
Comoros2014,26,45.33459000000001
Comoros2015,26,45.33459000000001
Comoros2016,24,45.33459000000001
Comoros2017,27,45.33459000000001
Comoros2018,27,45.33459000000001
Congo2012,26,48.93867
Congo2013,22,48.93867
Congo2014,23,48.93867
Congo2015,23,48.93867
Congo2016,20,48.93867
Congo2017,21,48.93867
Congo2018,19,48.93867
Costa Rica2012,54,48.62089
Costa Rica2013,53,49.27324
Costa Rica2014,54,48.63369
Costa Rica2015,55,48.37647
Costa Rica2016,58,48.706070000000004
Costa Rica2017,59,48.3464
Costa Rica2018,56,47.96869
Cote d'Ivoire2015,32,41.4748
Cote d'Ivoire2016,34,41.4748
Cote d'Ivoire2017,36,41.4748
Cote d'Ivoire2018,35,41.4748
Croatia2012,46,32.47515
Croatia2013,48,31.995490000000004
Croatia2014,48,32.107150000000004
Croatia2015,51,31.115309999999997
Croatia2016,49,30.899729999999998
Croatia2017,49,30.35458
Croatia2018,48,29.729470000000006
Cyprus2012,66,34.31243
Cyprus2013,63,37.04199000000001
Cyprus2014,63,35.56565
Cyprus2015,61,33.96638
Cyprus2016,55,32.8918
Cyprus2017,57,31.41623
Cyprus2018,59,32.73986
Czechia2012,49,26.110020000000002
Czechia2013,48,26.4739
Czechia2014,51,25.92322
Czechia2015,56,25.86743
Czechia2016,55,25.40633
Czechia2017,57,24.85221
Czechia2018,59,24.99034
Democratic Republic of Congo2013,22,42.099709999999995
Democratic Republic of Congo2014,22,42.099709999999995
Democratic Republic of Congo2015,22,42.099709999999995
Democratic Republic of Congo2016,21,42.099709999999995
Democratic Republic of Congo2017,21,42.099709999999995
Democratic Republic of Congo2018,20,42.099709999999995
Denmark2012,90,27.79075
Denmark2013,91,28.54376
Denmark2014,92,28.352880000000006
Denmark2015,91,28.17745
Denmark2016,90,28.187440000000002
Denmark2017,88,28.74666
Denmark2018,88,28.16634
Djibouti2012,36,45.13425
Djibouti2013,36,44.12707
Djibouti2017,31,41.58799000000001
Djibouti2018,31,41.58799000000001
Dominican Republic2012,32,46.13375
Dominican Republic2013,29,47.65639
Dominican Republic2014,32,44.28003
Dominican Republic2015,33,45.18164
Dominican Republic2016,31,45.72392
Dominican Republic2017,29,42.19562
Dominican Republic2018,30,43.68672
Ecuador2012,32,46.12076
Ecuador2013,35,46.8649
Ecuador2014,33,44.99488
Ecuador2015,32,45.95429
Ecuador2016,31,45.020070000000004
Ecuador2017,32,44.6727
Ecuador2018,34,45.44000000000001
Egypt2015,36,31.823359999999997
Egypt2018,35,31.53395
El Salvador2012,38,41.82928
El Salvador2013,38,43.358959999999996
El Salvador2014,39,41.55984
El Salvador2015,39,40.55194
El Salvador2016,36,39.97858
El Salvador2017,33,38.00719
El Salvador2018,35,38.61057
Estonia2012,64,32.91576
Estonia2013,68,35.07979
Estonia2014,69,34.59156
Estonia2015,70,32.67033
Estonia2016,70,31.19683
Estonia2017,71,30.35503
Estonia2018,73,30.32145
Eswatini2017,39,54.57979
Eswatini2018,38,54.57979
Ethiopia2016,34,34.993120000000005
Ethiopia2017,35,34.993120000000005
Ethiopia2018,34,34.993120000000005
Finland2012,90,27.096629999999998
Finland2013,89,27.193959999999997
Finland2014,89,26.77698
Finland2015,90,27.102040000000002
Finland2016,89,27.07848
Finland2017,85,27.383090000000003
Finland2018,85,27.32977
France2012,71,33.11486
France2013,71,32.512640000000005
France2014,69,32.26218
France2015,70,32.70434
France2016,69,31.923740000000002
France2017,70,31.632070000000002
France2018,72,32.38069
Gabon2017,32,38.02437000000001
Gabon2018,31,38.02437000000001
Gambia2016,26,35.91883
Gambia2017,30,35.91883
Gambia2018,37,35.91883
Georgia2012,52,38.95477
Georgia2013,49,38.58902000000001
Georgia2014,52,37.55413
Georgia2015,52,36.503679999999996
Georgia2016,57,36.63965
Georgia2017,56,37.93973
Georgia2018,58,36.411359999999995
Germany2012,79,30.88001
Germany2013,78,31.1468
Germany2014,79,30.871859999999998
Germany2015,81,31.73945
Germany2016,81,31.87067
Germany2017,81,31.87067
Germany2018,80,31.87067
Ghana2017,40,43.52088
Ghana2018,41,43.52088
Greece2012,36,36.251
Greece2013,40,36.127359999999996
Greece2014,43,35.809509999999996
Greece2015,46,36.00026
Greece2016,44,34.95864
Greece2017,48,34.35202
Greece2018,45,32.89121
Guatemala2014,32,48.27859
Guatemala2015,28,48.27859
Guatemala2016,28,48.27859
Guatemala2017,28,48.27859
Guatemala2018,27,48.27859
Guinea2012,24,33.7297
Guinea2013,24,33.7297
Guinea2014,25,33.7297
Guinea2015,25,33.7297
Guinea2016,27,33.7297
Guinea2017,27,33.7297
Guinea2018,28,33.7297
Guinea-Bissau2012,25,50.66424000000001
Guinea-Bissau2013,19,50.66424000000001
Guinea-Bissau2014,19,50.66424000000001
Guinea-Bissau2015,17,50.66424000000001
Guinea-Bissau2016,16,50.66424000000001
Guinea-Bissau2017,17,50.66424000000001
Guinea-Bissau2018,16,50.66424000000001
Guyana2012,28,45.118140000000004
Guyana2013,27,45.118140000000004
Guyana2014,30,45.118140000000004
Guyana2015,29,45.118140000000004
Guyana2016,34,45.118140000000004
Guyana2017,38,45.118140000000004
Guyana2018,37,45.118140000000004
Haiti2012,19,41.103770000000004
Haiti2013,19,41.103770000000004
Haiti2014,19,41.103770000000004
Haiti2015,17,41.103770000000004
Haiti2016,20,41.103770000000004
Haiti2017,22,41.103770000000004
Haiti2018,20,41.103770000000004
Honduras2012,28,56.11971
Honduras2013,26,52.57532000000001
Honduras2014,29,50.30048
Honduras2015,31,49.79733
Honduras2016,30,49.811859999999996
Honduras2017,29,49.44553
Honduras2018,29,48.93778
Hungary2012,55,30.804190000000002
Hungary2013,54,31.5041
Hungary2014,54,30.917659999999998
Hungary2015,51,30.408230000000003
Hungary2016,48,30.32762
Hungary2017,45,30.584120000000002
Hungary2018,46,29.612040000000004
Iceland2012,82,26.76942
Iceland2013,78,25.402910000000002
Iceland2014,79,27.800420000000003
Iceland2015,79,26.78797
Iceland2016,78,27.241110000000006
Iceland2017,77,26.13158
Iceland2018,76,26.13158
Iran2013,25,37.35951
Iran2014,27,38.78329
Iran2015,27,39.471
Iran2016,29,39.9652
Iran2017,30,40.80294
Iraq2012,18,29.541859999999996
Iraq2013,16,29.541859999999996
Iraq2014,16,29.541859999999996
Iraq2015,16,29.541859999999996
Iraq2016,17,29.541859999999996
Iraq2017,18,29.541859999999996
Iraq2018,18,29.541859999999996
Ireland2012,69,33.220749999999995
Ireland2013,72,33.48919
Ireland2014,74,31.87645
Ireland2015,75,31.821540000000002
Ireland2016,73,32.8076
Ireland2017,74,31.3598
Ireland2018,73,31.3598
Israel2012,60,41.346790000000006
Israel2014,60,39.757490000000004
Israel2016,64,39.013020000000004
Israel2017,62,39.013020000000004
Israel2018,61,39.013020000000004
Italy2012,42,35.155609999999996
Italy2013,43,34.91185
Italy2014,43,34.657329999999995
Italy2015,44,35.39744
Italy2016,47,35.24625
Italy2017,50,35.928000000000004
Italy2018,52,35.928000000000004
Jamaica2012,38,45.45747
Jamaica2013,38,45.45747
Jamaica2014,38,45.45747
Jamaica2015,41,45.45747
Jamaica2016,39,45.45747
Jamaica2017,44,45.45747
Jamaica2018,44,45.45747
Japan2013,74,32.854729999999996
Japan2014,76,32.854729999999996
Japan2015,75,32.854729999999996
Japan2016,72,32.854729999999996
Japan2017,73,32.854729999999996
Japan2018,73,32.854729999999996
Jordan2012,48,33.65573
Jordan2013,45,33.65573
Jordan2014,49,33.65573
Jordan2015,53,33.65573
Jordan2016,48,33.65573
Jordan2017,48,33.65573
Jordan2018,49,33.65573
Kazakhstan2012,28,28.16882
Kazakhstan2013,26,27.065430000000006
Kazakhstan2014,29,27.015860000000004
Kazakhstan2015,28,26.80367
Kazakhstan2016,29,27.22533
Kazakhstan2017,31,27.45028
