Country,Curruption,Gini
Albania2018,36,33.17109
Algeria2018,35,27.61573
Armenia2018,35,34.4335
Australia2018,77,34.399429999999995
Austria2018,76,30.84879
Azerbaijan2018,25,26.554909999999996
Bangladesh2018,26,32.38527
Belarus2018,44,25.24053
Belgium2018,75,27.214409999999997
Benin2018,40,47.75591
Bhutan2018,68,37.44141000000001
Bolivia2018,29,42.5795
Bosnia and Herzegovina2018,38,33.030190000000005
Botswana2018,61,53.325030000000005
Brazil2018,35,53.86498
Bulgaria2018,42,41.2841
Burkina Faso2018,41,35.30123
Burundi2018,17,38.62482
Cameroon2018,25,46.64087
Canada2018,81,33.308209999999995
Cape Verde2018,57,42.38109
Central African Republic2018,26,56.23661
Chad2018,19,43.32121
Chile2018,67,44.440940000000005
Colombia2018,36,50.41870000000001
Comoros2018,27,45.33459000000001
Congo2018,19,48.93867
Costa Rica2018,56,47.96869
Cote d'Ivoire2018,35,41.4748
Croatia2018,48,29.729470000000006
Cyprus2018,59,32.73986
Czechia2018,59,24.99034
Democratic Republic of Congo2018,20,42.099709999999995
Denmark2018,88,28.16634
Djibouti2018,31,41.58799000000001
Dominican Republic2018,30,43.68672
Ecuador2018,34,45.44000000000001
Egypt2018,35,31.53395
El Salvador2018,35,38.61057
Estonia2018,73,30.32145
Eswatini2018,38,54.57979
Ethiopia2018,34,34.993120000000005
Finland2018,85,27.32977
France2018,72,32.38069
Gabon2018,31,38.02437000000001
Gambia2018,37,35.91883
Georgia2018,58,36.411359999999995
Germany2018,80,31.87067
Ghana2018,41,43.52088
Greece2018,45,32.89121
Guatemala2018,27,48.27859
Guinea2018,28,33.7297
Guinea-Bissau2018,16,50.66424000000001
Guyana2018,37,45.118140000000004
Haiti2018,20,41.103770000000004
Honduras2018,29,48.93778
Hungary2018,46,29.612040000000004
Iceland2018,76,26.13158
Iran2017,30,40.80294
Iraq2018,18,29.541859999999996
Ireland2018,73,31.3598
Israel2018,61,39.013020000000004
Italy2018,52,35.928000000000004
Jamaica2018,44,45.45747
Japan2018,73,32.854729999999996
Jordan2018,49,33.65573
Kazakhstan2018,31,27.79287
Kenya2018,27,40.77577
Kosovo2018,37,29.012940000000004
Kyrgyzstan2018,29,27.690330000000003
Latvia2018,58,35.09615
Lebanon2018,28,31.83245
Lesotho2018,41,44.8797
Liberia2018,32,35.26546
Lithuania2018,59,35.707809999999995
Luxembourg2018,81,35.36809
Madagascar2018,25,42.648179999999996
Malawi2018,32,44.694309999999994
Malaysia2018,47,41.0664
Maldives2018,31,31.28565
Mali2018,32,33.03796
Malta2018,54,28.665090000000003
Mauritania2018,27,32.619350000000004
Mauritius2018,51,36.76121
Mexico2018,28,45.37549
Moldova2018,33,25.66165
Mongolia2018,37,32.740990000000004
Montenegro2018,45,38.48795
Morocco2018,43,39.54851
Mozambique2018,23,53.996680000000005
Myanmar2018,29,30.69687
Namibia2018,53,59.06661
Nepal2018,31,32.84059
Netherlands2018,82,28.12108
Nicaragua2018,25,46.156290000000006
Niger2018,34,34.276579999999996
North Macedonia2018,37,32.9607
Norway2018,84,27.55783
Panama2018,37,49.21247
Papua New Guinea2018,28,41.85079
Paraguay2018,29,45.9551
Peru2018,35,42.37388
Philippines2018,36,37.81171
Poland2018,60,31.14105
Portugal2018,64,33.49256
Romania2018,47,35.7615
Russia2018,28,37.473009999999995
Rwanda2018,56,43.71005
Saint Lucia2018,55,51.233309999999996
Sao Tome and Principe2018,46,56.31984
Senegal2018,45,40.28523
Serbia2018,39,30.351059999999997
Seychelles2013,54,46.822790000000005
Sierra Leone2018,30,35.69018
Slovakia2018,50,24.97015
Slovenia2018,60,24.63336
Solomon Islands2018,44,37.05493000000001
Somalia2018,10,36.82241
South Africa2018,43,63.02607
South Korea2018,57,31.40486
South Sudan2018,13,44.14413
Spain2018,58,34.71895
Sri Lanka2018,38,39.34577
Sudan2018,16,34.2432
Suriname2018,43,57.60975000000001
Sweden2018,85,29.974190000000004
Switzerland2018,85,33.14105
Syria2018,13,37.5146
Taiwan2018,63,31.48272
Tajikistan2018,25,33.99572
Tanzania2018,36,40.49123
Thailand2018,36,36.41217
Timor2018,35,28.652929999999998
Togo2018,30,43.05614
Trinidad and Tobago2018,41,40.27296000000001
Tunisia2018,43,32.81588
Turkey2018,41,41.877520000000004
Turkmenistan2018,20,40.80693
Uganda2018,26,42.75369
Ukraine2018,32,26.071490000000004
United Arab Emirates2018,70,25.96615
United Kingdom2018,80,35.14883
United States2018,71,41.40784
Uruguay2018,70,39.68724
Uzbekistan2018,23,35.2688
Vanuatu2018,46,37.62623
Venezuela2014,19,44.7705
Vietnam2018,33,35.71555
Yemen2018,14,36.70709
Zambia2018,35,57.13606
Zimbabwe2017,22,44.33708
