Country,GDP per capita,Life expectancy
Afghanistan2002,1189.78466765718,56.784
Afghanistan2003,1235.81006329565,57.271
Afghanistan2004,1200.27801321734,57.772
Afghanistan2005,1286.79365893927,58.29
Afghanistan2006,1315.78911741835,58.826
Afghanistan2007,1460.8257513794,59.375
Afghanistan2008,1484.11446132539,59.93
Afghanistan2009,1758.90447663765,60.484
Afghanistan2010,1957.02906990812,61.028
Afghanistan2011,1904.55992565594,61.553
Afghanistan2012,2075.49161435331,62.054
Afghanistan2013,2116.46525771251,62.525
Afghanistan2014,2102.38460375974,62.966
Afghanistan2015,2068.26590413364,63.377
Afghanistan2016,2057.06797755329,63.763
Afghanistan2017,2058.4002210698,64.13
Afghanistan2018,2033.80438893717,64.486
Afghanistan2019,2065.03623501599,64.833
Albania1990,4827.31848375491,71.836
Albania1991,3496.58024610028,71.803
Albania1992,3265.01742857304,71.802
Albania1993,3599.02705819638,71.86
Albania1994,3921.85120713086,71.992
Albania1995,4471.87106998715,72.205
Albania1996,4909.22810492363,72.495
Albania1997,4400.57782736551,72.838
Albania1998,4819.38753360483,73.208
Albania1999,5475.16913542593,73.587
Albania2000,5893.13623256329,73.955
Albania2001,6441.85345238676,74.288
Albania2002,6754.53600301332,74.579
Albania2003,7154.78482512179,74.828
Albania2004,7580.62909108667,75.039
Albania2005,8040.87871678112,75.228
Albania2006,8569.19111251045,75.423
Albania2007,9150.51874704368,75.646
Albania2008,9912.57724242974,75.912
Albania2009,10313.926441304,76.221
Albania2010,10749.4874481658,76.562
Albania2011,11052.7904635136,76.914
Albania2012,11227.9944871972,77.252
Albania2013,11361.2936763788,77.554
Albania2014,11586.8637666424,77.813
Albania2015,11878.4880933446,78.025
Albania2016,12291.8733773928,78.194
Albania2017,12770.9750370811,78.333
Albania2018,13323.7533559132,78.458
Albania2019,13671.4884222978,78.573
Algeria1990,8746.35188227883,66.938
Algeria1991,8431.38854129605,67.27
Algeria1992,8383.76900709815,67.575
Algeria1993,8027.37610689754,67.877
Algeria1994,7792.0843535331,68.194
Algeria1995,7935.17901354383,68.54
Algeria1996,8116.9599471048,68.919
Algeria1997,8074.75968137775,69.323
Algeria1998,8360.15144618748,69.745
Algeria1999,8506.34567872554,70.183
Algeria2000,8710.45514928455,70.64
Algeria2001,8855.02018576846,71.116
Algeria2002,9232.42752284659,71.605
Algeria2003,9771.68485621459,72.101
Algeria2004,10058.4390154947,72.594
Algeria2005,10504.8584676293,73.072
Algeria2006,10527.4220783457,73.521
Algeria2007,10717.7844636359,73.936
Algeria2008,10796.9025638468,74.311
Algeria2009,10782.3610927014,74.644
Algeria2010,10970.7063686682,74.938
Algeria2011,11078.2423287826,75.199
Algeria2012,11233.53132033,75.436
Algeria2013,11319.0970588002,75.661
Algeria2014,11512.7051094875,75.878
Algeria2015,11696.9652290603,76.09
Algeria2016,11826.1664161029,76.298
Algeria2017,11737.4161588301,76.499
Algeria2018,11642.1983450506,76.693
Algeria2019,11510.5570882585,76.88
Angola1990,5783.42955231631,45.306
Angola1991,5649.78212964561,45.271
Angola1992,5148.25485731592,45.23
Angola1993,3788.5095556555,45.201
Angola1994,3717.36522903903,45.201
Angola1995,4139.64076955341,45.246
Angola1996,4551.6503810052,45.35
Angola1997,4728.1569239722,45.519
Angola1998,4792.68416271916,45.763
Angola1999,4740.66923573176,46.093
Angola2000,4727.96631394756,46.522
Angola2001,4766.83673589953,47.059
Angola2002,5240.8394329332,47.702
Angola2003,5218.20771212651,48.44
Angola2004,5593.24362419081,49.263
Angola2005,6210.2221878264,50.165
Angola2006,6681.10102767941,51.143
Angola2007,7341.86519904765,52.177
Angola2008,7864.37457862612,53.243
Angola2009,7643.49578596548,54.311
Angola2010,7692.43428623311,55.35
Angola2011,7675.44608452759,56.33
Angola2012,8036.69240208792,57.236
Angola2013,8140.52597328045,58.054
Angola2014,8239.8306720725,58.776
Angola2015,8036.41089824639,59.398
Angola2016,7568.99816818809,59.925
Angola2017,7310.89658895511,60.379
Angola2018,6933.49993413352,60.782
Angola2019,6670.33145836633,61.147
Antigua and Barbuda1990,15458.4571892781,71.52
Antigua and Barbuda1991,15588.0229589094,71.765
Antigua and Barbuda1992,15500.4918378665,72.006
Antigua and Barbuda1993,15991.9107140353,72.247
