Country,GDP per capita,Life expectancy
Zimbabwe1990,3594.92943681182,58.1
Zambia1990,2190.18172375977,49.249
World1990,9649.63338257348,64.18
Vietnam1990,1673.24980607452,70.551
Vanuatu1990,2855.90068754794,64.721
Uzbekistan1990,3416.72409636232,66.481
Uruguay1990,11066.1288643155,72.569
United States1990,40411.1603398638,75.246
United Kingdom1990,30464.9885569295,75.689
United Arab Emirates1990,111454.055661144,71.939
Ukraine1990,15751.7224397433,69.835
Uganda1990,907.761441266983,45.853
Tuvalu1990,2610.76895166758,61.35
Turks and Caicos Islands2011,23761.2065784249,79.191
Turkmenistan1990,7207.93394877223,62.81
Turkey1990,12629.4672846258,64.256
Tunisia1990,5432.3274947136,68.792
Trinidad and Tobago1990,10080.8378671643,68.086
Tonga1990,3765.39012118534,68.935
Togo1990,1787.17445900133,55.887
Timor2000,2328.30466726771,59.002
Thailand1990,7102.05626415201,70.248
Tanzania1990,1392.22194631427,50.206
Tajikistan1990,4092.86160326044,58.824
Switzerland1990,56329.2156537801,77.568
Sweden1990,34156.8202971425,77.637
Suriname1990,13888.9062855436,67.436
Sudan1990,1602.89360435961,55.5
Sri Lanka1990,3878.30933759434,69.509
Spain1990,27543.9192440024,77.215
South Korea1990,12656.3960621654,71.657
South Africa1990,10296.4408439167,63.307
Somalia1990,1.96015186935512,45.378
Solomon Islands1990,2317.99940215394,64.365
Slovenia1995,21483.6990921609,74.471
Slovakia1992,11690.9447499218,71.528
Sint Maarten (Dutch part)2009,41969.4037404409,77.474
Singapore1990,37412.3277522972,75.936
Sierra Leone1990,1460.77893701526,38.563
Seychelles1990,14584.8191611583,70.767
Serbia1995,7752.18807437424,71.841
Senegal1990,2472.78440391351,57.202
Saudi Arabia1990,41392.5330555247,69.078
Sao Tome and Principe2001,2589.16385739179,62.017
San Marino1997,63990.0134144302,80.856
Samoa1990,4055.02749432195,66.281
Saint Vincent and the Grenadines1990,6547.42576218028,70.58
Saint Lucia1990,11709.5995201278,71.074
Saint Kitts and Nevis1990,15160.7051747606,68.48
Rwanda1990,936.634310103984,33.413
Russia1990,21482.7481919439,68.047
Romania1990,13302.4721812289,69.535
Qatar2000,86566.3028502583,77.467
Puerto Rico1990,21595.9785599867,74.185
Portugal1990,23556.8562074936,74.504
Poland1990,11314.9623717748,70.823
Philippines1990,4231.79173643063,66.366
Peru1990,5249.20038403325,66.165
Paraguay1990,8475.73662531071,68.545
Papua New Guinea1990,2434.70012255459,56.492
Panama1990,10726.0027523866,72.982
Palestine1994,3951.20549285021,69.455
Palau2000,13586.8050432488,68.335
Pakistan1990,2915.90017547499,60.1
Oman1990,26558.5237272927,67.18
Norway1990,42136.6162635665,76.729
North Macedonia1990,11378.1606638089,71.152
Nigeria1990,3259.64290040807,45.9
Niger1990,1124.92232583551,43.538
Nicaragua1990,3454.26764763955,64.293
New Zealand1990,28086.824130814,75.36
Netherlands1990,36461.4190196424,76.993
Nepal1990,1616.64939808458,54.404
Nauru2004,5575.51217120234,58.811
Namibia1990,5945.97079303932,61.608
Myanmar1990,619.645309375663,56.849
Mozambique1990,471.325102529694,45.261
Morocco1990,3816.99361298036,64.732
Montenegro1997,12579.2731824202,73.607
Mongolia1990,4983.77813124481,60.268
Moldova1995,5696.15835872764,66.867
Micronesia (country)1990,2995.50477415149,63.605
Mexico1990,14949.0301460641,70.866
Mauritius1990,7989.52989598513,69.425
Mauritania1990,4640.9323337176,59.688
Marshall Islands1990,3302.10843598567,63.004
Malta1990,16106.9176735948,76.912
Mali1990,1414.88647455469,45.746
Maldives1995,10598.0005064283,65.923
Malaysia1990,10306.0820868861,70.865
Malawi1990,936.060209826408,46.096
Madagascar1990,1853.04938759118,51.003
Macao1990,48773.2366543468,77.296
Luxembourg1990,67641.5636010186,75.159
Lithuania1995,10640.3600314613,69.768
Libya1999,16402.9608604597,70.684
Liberia2000,1699.02083585982,51.734
Lesotho1990,1336.63330443487,59.837
Lebanon1990,7552.85928085453,70.266
Latvia1995,9506.29730969054,67.828
Laos1990,1964.57297665045,53.364
Kyrgyzstan1990,5158.31756945827,66.337
Kuwait1995,63724.705745725,72.764
Kiribati1990,2134.12351747678,59.636
Kenya1990,3209.91318665692,57.406
Kazakhstan1990,13475.6398976651,66.776
Jordan1990,7924.17762307316,69.872
Japan1990,32168.764113869,79.004
Jamaica1990,8592.38709393202,73.204
Italy1990,36585.6799028741,76.942
Israel1995,28338.1521496227,77.758
Ireland1990,26793.492275384,74.809
Iraq1990,7684.82833748728,66.011
Iran1990,8630.83521639574,63.837
Indonesia1990,4532.54035135559,62.32
India1990,1813.13585285954,57.865
Iceland1995,33666.2115335801,78.762
Hungary1991,16424.9091218342,69.358
Hong Kong1990,28798.4585956938,77.455
Honduras1990,3990.02906523073,66.723
Haiti1990,3229.61955595456,54.265
Guyana1990,4843.09227308768,63.287
Guinea-Bissau1990,1994.66147480128,47.095
Guinea1990,1507.64061146232,49.987
Guatemala1990,5561.07068424542,62.261
Grenada1990,8813.92383702039,69.598
Greece1990,24306.5523995951,76.552
Ghana1990,2342.36631894183,56.776
Germany1990,36645.4103412106,75.488
Georgia1990,11135.4628892873,70.386
Gambia1990,2265.23347829401,52.221
Gabon1990,18179.1700017022,60.965
France1990,33732.0142120651,76.757
Finland1990,32939.3832880618,75.254
Fiji1990,8451.44285045352,65.379
Ethiopia1990,767.013565341255,47.099
Eswatini1990,5097.82360932787,61.95
Estonia1995,12738.0397427532,68.66
Equatorial Guinea1990,1039.98504940052,48.775
El Salvador1990,5264.67623108415,64
