Country,Poverty,Alcohol consumption
Albania2018,0.157467,7.17
Algeria2018,0.12385700000000001,0.95
Angola2018,22.32624,6.94
Armenia2018,0.23472929999999997,5.55
Australia2018,0.3682444,10.51
Austria2018,0.4743771,11.96
Azerbaijan2018,0,4.41
Bangladesh2018,1.247465,0.019
Belarus2018,0,11.45
Belgium2018,0.06435943000000001,11.08
Belize2018,6.208399,6.22
Benin2018,20.56444,2.81
Bhutan2018,0.1281979,0.43
Bolivia2018,1.915769,4.43
Bosnia and Herzegovina2018,0.012659620000000002,7.15
Botswana2018,3.548853,6.59
Brazil2018,1.638241,7.42
Bulgaria2018,0.24380079999999998,12.65
Burkina Faso2018,8.011552,12.03
Burundi2018,37.20622,7.19
Cameroon2018,7.2893490000000005,5.65
Canada2018,0.08360595,8.94
Cape Verde2018,0.5027933,5.6
Central African Republic2018,37.858920000000005,2.38
Chad2018,16.656940000000002,1.37
Chile2018,0.1620701,9.07
China2018,0.06616308,7.05
Colombia2018,1.684399,5.74
Comoros2018,6.5045790000000006,0.69
Congo2018,23.59478,9.27
Costa Rica2018,0.5603402,4.87
Cote d'Ivoire2018,7.398603,2.71
Croatia2018,0.246173,9.23
Cyprus2018,0.016506580000000003,10.81
Czechia2018,0.005659036999999999,14.45
Democratic Republic of Congo2018,34.01896,2
Denmark2018,0.14223739999999999,10.26
Djibouti2018,5.023915000000001,0.43
Dominican Republic2018,0.1470569,6.68
Ecuador2018,1.01382,4.2
Egypt2018,0.6502897,0.36
El Salvador2018,0.3409501,3.89
Estonia2018,0.1962265,9.23
Eswatini2018,9.343282,10.04
Ethiopia2018,6.284724999999999,2.36
Fiji2018,0.030686689999999996,3.32
Finland2018,0.04674208999999999,10.78
France2018,0.013369160000000001,12.33
Gabon2018,0.8850456999999999,8.74
Gambia2018,1.8792860000000002,3.55
Georgia2018,1.20818,8.25
Germany2018,0,12.91
Ghana2018,4.025195,2.75
Greece2018,0.11697479999999999,10.18
Guatemala2018,2.0511900000000005,2.45
Guinea2018,5.988087999999999,1.11
Guinea-Bissau2018,28.028070000000007,5.38
Guyana2018,3.7440960000000003,6.89
Haiti2018,6.003341,2.73
Honduras2018,5.848266,3.76
Hungary2018,0.12586119999999998,11.35
Iceland2018,0,9.12
India2015,2.6216369999999998,5.54
Indonesia2018,0.4930833,0.57
Iran2018,0.09090842999999998,1.03
Iraq2018,0.2172986,0.39
Ireland2018,0.19423079999999998,12.88
Israel2018,0.03898576,4.21
Italy2018,1.110133,7.84
Jamaica2018,0.38708059999999994,4.22
Japan2018,0.16073210000000002,7.96
Jordan2018,0.02331173,0.69
Kazakhstan2018,0.0007811671000000001,4.76
Kenya2018,9.987211,2.78
Kiribati2018,2.681745,0.46
Kyrgyzstan2018,0.08859122999999999,6.26
Laos2018,1.8651810000000002,10.72
Latvia2018,0.1701552,12.77
Lebanon2018,0,1.71
Lesotho2018,9.582024,4.59
Liberia2018,14.888900000000001,6.12
Lithuania2018,0.4692126,13.22
Luxembourg2018,0.11628489999999998,12.94
Madagascar2018,38.520559999999996,1.97
Malawi2018,28.16945,3.63
Malaysia2018,0.0006152147999999999,0.85
Maldives2018,0,2.22
Mali2018,12.71407,1.28
Malta2018,0.052014080000000004,7.99
Mauritania2018,1.389444,0.036
Mauritius2018,0.019049080000000003,4.35
Mexico2018,0.4858058,5
Micronesia (country)2018,5.569941,2.48
Moldova2018,0.0009491763,11.43
Mongolia2018,0.054900080000000004,8.19
Montenegro2018,1.468576,11.47
Morocco2018,0.1103202,0.69
Mozambique2018,27.134970000000003,2.3
Myanmar2018,0.1503708,5.12
Namibia2018,5.243387,5.43
Nauru2018,0,3.71
Nepal2018,1.03325,2.05
Netherlands2018,0.05470145999999999,9.61
Nicaragua2018,0.6678824,5.18
Niger2018,11.80222,0.67
Nigeria2018,13.16928,10.84
North Macedonia2018,1.226036,6.16
Norway2018,0.2028672,7.41
Pakistan2018,0.5125819,0.34
Panama2018,0.5165701,7.98
Papua New Guinea2018,10.02895,1.39
Paraguay2018,0.2559177,7.58
Peru2018,0.6877613,6.38
Philippines2018,0.7508916999999999,6.86
Poland2018,0.00012397839999999999,11.71
Portugal2018,0.1490727,12.03
Romania2018,0.8451555,11.74
Russia2018,0.00511168,11.19
Rwanda2018,18.81243,8.95
Saint Lucia2018,2.507544,10.6
Samoa2018,0.07481541,2.66
Sao Tome and Principe2018,12.85826,5.88
Senegal2018,8.591056,0.76
Serbia2018,0.0039357509999999995,8.75
Seychelles2018,0.10655489999999998,20.5
Sierra Leone2018,11.697880000000001,5.7
Slovakia2018,0.08884399000000001,11.14
Slovenia2018,0,11.9
Solomon Islands2018,5.873112,1.83
Somalia2018,29.117559999999997,0.009
South Africa2018,6.327198000000001,9.52
South Asia2010,5.615889,3.45392132686445
South Korea2018,0.03529193,9.7
Spain2018,0.5836150999999999,12.72
Sri Lanka2018,0.07823842999999998,4.1
Sub-Saharan Africa2018,15.24925,5.83751043204873
Sudan2018,2.631939,0.51
Suriname2018,14.780399999999998,5.33
Sweden2018,0.6070504,8.93
Switzerland2018,0.02036801,11.53
Syria2018,8.877763,0.24
Tajikistan2018,0.5283546,3.28
Tanzania2018,15.796629999999997,11.27
Thailand2018,0.0035668640000000003,8.3
Timor2018,4.4010880000000006,2.17
Togo2018,18.64842,2.46
Tonga2018,0.13512649999999998,0.8
Trinidad and Tobago2018,0.12812030000000002,6.72
Tunisia2018,0.02742362,2.12
Turkey2018,0.008344482,2.05
Turkmenistan2018,0.3822036,4.93
Tuvalu2018,0.058066019999999996,1.52
Uganda2018,12.45631,15.09
Ukraine2018,0.001650446,8.32
United Arab Emirates2018,0,3.9
United Kingdom2018,0.18551020000000001,11.45
United States2018,0.8576152,9.87
Uruguay2018,0.028746030000000002,6.92
Uzbekistan2018,3.088874,2.59
Vanuatu2018,3.625582,2.25
Venezuela2010,3.499772,8.67
Vietnam2018,0.33358109999999996,8.66
World2015,3.0754710000000003,6.29785904438514
Yemen2018,18.42682,0.051
Zambia2018,30.05373,6.54
Zimbabwe2018,9.677634,4.67
